Unified School District Name,Unified School District Code,Washington School District Code,Educational Service District Code,Estimated Total Population 2000,Estimated Total Population 2001,Estimated Total Population 2002,Estimated Total Population 2003,Estimated Total Population 2004,Estimated Total Population 2005,Estimated Total Population 2006,Estimated Total Population 2007,Estimated Total Population 2008,Estimated Total Population 2009,Estimated Total Population 2010,Estimated Total Population 2011,Estimated Total Population 2012,Estimated Total Population 2013,Estimated Total Population 2014,Estimated Total Population 2015,Estimated Total Population 2016,Numeric Change in Population 2000 to 2010,Percent Change in Population 2000 to 2010,Numeric Change in Population 2010 to 2016,Percent Change in Population 2010 to 2016,SAEP Version
Mukilteo School District,5430,31006,189,77219,78961,80651,82242,83598,85436,87561,89482,90992,92051,93222,93685,94452,95311,96401,98618,100986,16003,20.72%,7764,8.33%,"September 21, 2016"
Naches Valley School District,5460,39003,105,8189,8163,8098,8127,8115,8099,8103,8108,8115,8107,8078,8172,8216,8242,8303,8351,8318,-111,(  1.360%),240,2.97%,"September 21, 2016"
Napavine School District,5490,21014,113,3797,3854,3908,3938,3989,4042,4127,4196,4255,4295,4316,4342,4357,4359,4389,4410,4451,519,13.66%,135,3.12%,"September 21, 2016"
Naselle-Grays River Valley School District,5520,25155,112,2087,2099,2105,2106,2117,2139,2175,2191,2210,2231,2240,2249,2249,2264,2228,2218,2224,153,7.33%,-16,,"September 21, 2016"
Nespelem School District,5550,24014,171,1321,1328,1332,1330,1334,1335,1346,1337,1340,1351,1354,1348,1350,1347,1343,1354,1341,33,2.47%,-13,,"September 21, 2016"
Newport School District,5610,26056,101,7279,7392,7456,7525,7569,7661,7742,7886,7981,8043,8083,8088,8135,8160,8197,8234,8258,804,11.05%,175,2.17%,"September 21, 2016"
Nine Mile Falls School District,5640,32325,101,7304,7435,7569,7683,7815,7977,8165,8326,8497,8627,8720,8741,8760,8752,8766,8759,8779,1416,19.38%,59,0.67%,"September 21, 2016"
Nooksack Valley School District,5670,37506,189,8622,8803,8937,8994,9180,9389,9618,9850,9940,10014,10056,10157,10258,10400,10485,10555,10686,1434,16.63%,630,6.26%,"September 21, 2016"
North Beach School District,5700,14064,113,5692,5938,6100,6234,6405,6587,6771,6927,7062,7198,7329,7391,7549,7679,7768,7806,7815,1637,28.76%,486,6.63%,"September 21, 2016"
North Franklin School District,5730,11051,123,7830,7701,7690,7802,8059,8350,8606,8784,8891,9026,9182,10140,10309,10508,10368,10400,10473,1352,17.27%,1291,14.06%,"September 21, 2016"
North Kitsap School District,5760,18400,114,39153,39840,40662,41496,42078,42254,43344,44297,45073,45654,45966,46259,46310,46873,47298,47607,48324,6813,17.40%,2358,5.13%,"September 21, 2016"
North Mason School District,5790,23403,114,11043,11292,11634,11972,12372,12824,13277,13818,14270,14541,14752,14961,15033,15133,15236,15324,15314,3709,33.59%,562,3.81%,"September 21, 2016"
North River School District,5820,25200,113,250,250,246,242,239,237,236,232,229,226,223,228,228,227,227,232,231,-27,( 10.884%),8,3.43%,"September 21, 2016"
North Thurston Public Schools,5850,34003,113,75870,77053,78709,80396,82331,84793,86730,88923,91041,92863,94104,94770,95826,96775,97933,98896,101145,18234,24.03%,7041,7.48%,"September 21, 2016"
Northport School District,5880,33211,101,1469,1467,1466,1468,1470,1475,1484,1487,1495,1492,1482,1484,1493,1496,1506,1515,1517,13,0.87%,35,2.33%,"September 21, 2016"
Northshore School District,5910,17417,121,108018,109512,111128,112232,113310,114685,116845,118730,120179,121326,122684,123949,125740,128037,130487,132922,136505,14666,13.58%,13821,11.27%,"September 21, 2016"
Oak Harbor School District,5940,15201,189,35752,35863,36265,36364,36681,37233,37703,38072,38093,38054,37813,37983,38251,38133,38008,38198,40138,2061,5.76%,2325,6.15%,"September 21, 2016"
Oakesdale School District,5970,38324,101,878,861,858,845,848,852,847,834,847,834,837,839,839,838,843,849,857,-41,(  4.629%),20,2.44%,"September 21, 2016"
Oakville School District,6000,14400,113,2164,2214,2233,2242,2263,2289,2316,2333,2343,2354,2363,2379,2385,2381,2380,2365,2351,199,9.20%,-12,,"September 21, 2016"
Ocean Beach School District,6060,25101,112,9708,9728,9727,9663,9699,9740,9883,9864,9881,9981,10032,10012,10074,10102,10210,10311,10307,324,3.33%,275,2.74%,"September 21, 2016"
Ocosta School District,6090,14172,113,5666,5921,6106,6262,6458,6664,6884,7062,7226,7398,7559,7598,7615,7610,7625,7620,7580,1893,33.42%,21,0.27%,"September 21, 2016"
Odessa School District,6120,22105,101,1648,1648,1622,1586,1589,1577,1565,1560,1553,1533,1509,1513,1526,1520,1520,1528,1517,-139,(  8.452%),8,0.54%,"September 21, 2016"
Okanogan School District,6150,24105,171,5462,5494,5513,5509,5528,5539,5589,5553,5572,5620,5637,5653,5638,5611,5628,5622,5593,175,3.21%,-44,,"September 21, 2016"
Olympia School District,6180,34111,113,54343,54631,55258,55910,56735,57917,58736,59726,60663,61400,61756,62192,62975,64070,65227,66286,67036,7413,13.64%,5280,8.55%,"September 21, 2016"
Omak School District,6220,24019,171,10327,10371,10388,10364,10382,10385,10460,10377,10394,10467,10481,10482,10491,10486,10508,10584,10552,154,1.49%,71,0.67%,"September 21, 2016"
Onalaska School District,6240,21300,113,4530,4612,4691,4741,4816,4894,5010,5107,5193,5254,5293,5349,5360,5354,5365,5398,5440,763,16.85%,147,2.78%,"September 21, 2016"
Onion Creek School District,6270,33030,101,393,393,393,393,394,396,398,399,401,401,398,396,396,397,396,396,396,5,1.15%,-2,,"September 21, 2016"
Orcas Island School District,6300,28137,189,4649,4774,4879,4933,5005,5104,5188,5241,5308,5360,5387,5446,5465,5474,5513,5536,5582,738,15.88%,195,3.62%,"September 21, 2016"
Orchard Prairie School District,6330,32123,101,682,683,685,678,676,678,685,689,691,694,694,698,702,707,714,716,708,12,1.69%,14,2.08%,"September 21, 2016"
Orient School District,6360,10065,101,838,843,847,851,853,859,867,871,878,881,879,884,888,891,894,905,904,41,4.84%,25,2.88%,"September 21, 2016"
Orondo School District,6390,9013,171,1303,1323,1336,1375,1402,1434,1487,1532,1580,1624,1651,1687,1712,1759,1805,1822,1855,348,26.67%,204,12.35%,"September 21, 2016"
Oroville School District,6420,24410,171,4321,4344,4357,4352,4365,4372,4409,4379,4392,4428,4439,4449,4526,4561,4558,4584,4560,118,2.74%,121,2.73%,"September 21, 2016"
Orting School District,6450,27344,121,9087,9505,9968,10419,10884,11373,11925,12416,12821,13144,13391,13332,13393,13577,13726,14012,14352,4304,47.36%,961,7.17%,"September 21, 2016"
Othello School District,6480,1147,123,12297,12575,12817,13033,13434,13647,13778,14071,14350,14594,14916,15083,15178,15333,15512,15565,15689,2619,21.30%,773,5.18%,"September 21, 2016"
Palisades School District,6510,9102,171,434,413,391,376,358,341,330,316,302,287,269,271,271,272,274,277,281,-165,( 38.061%),12,4.58%,"September 21, 2016"
Palouse School District,6540,38301,101,1409,1386,1387,1370,1380,1391,1388,1372,1398,1381,1391,1402,1419,1427,1437,1443,1470,-18,(  1.268%),79,5.65%,"September 21, 2016"
Pasco School District,6570,11001,123,40673,41962,43803,46315,49716,53404,56934,59965,62512,65259,68155,69536,71362,73429,75405,75919,77346,27482,67.57%,9191,13.49%,"September 21, 2016"
Pateros School District,6600,24122,171,1610,1607,1600,1587,1581,1573,1575,1554,1548,1549,1542,1544,1559,1558,1562,1436,1468,-68,(  4.205%),-74,,"September 21, 2016"
Paterson School District,6630,3050,123,415,417,420,425,430,434,437,439,441,446,451,459,458,453,450,447,449,36,8.66%,-2,,"September 21, 2016"
Pe Ell School District,6660,21301,113,1628,1641,1653,1655,1665,1677,1701,1719,1732,1738,1737,1737,1738,1731,1724,1735,1734,109,6.68%,-3,,"September 21, 2016"
Peninsula School District,6690,27401,121,53871,54574,55536,56423,57378,58448,59821,60864,61487,61734,61651,61958,62444,63169,63643,64839,66117,7780,14.44%,4466,7.25%,"September 21, 2016"
Pioneer School District,6750,23402,113,7823,7961,8166,8367,8615,8902,9184,9529,9812,9967,10083,10145,10197,10224,10249,10355,10314,2260,28.89%,231,2.3%,"September 21, 2016"
Pomeroy School District,6780,12110,123,2346,2329,2309,2290,2265,2252,2241,2220,2208,2200,2191,2176,2176,2173,2163,2182,2126,-155,(  6.604%),-65,,"September 21, 2016"
Port Angeles School District,6820,5121,114,28612,28684,28820,28890,29078,29330,29723,29952,30130,30145,30152,30259,30317,30396,30420,30462,30704,1540,5.38%,552,1.83%,"September 21, 2016"
Port Townsend School District,6840,16050,114,12721,12881,13095,13175,13348,13629,13849,14024,14195,14246,14278,14372,14404,14475,14680,14756,14898,1557,12.24%,620,4.35%,"September 21, 2016"
Prescott School District,6870,36402,123,1699,1652,1611,1575,1547,1525,1486,1456,1419,1387,1349,1349,1357,1361,1363,1342,1323,-350,( 20.615%),-26,,"September 21, 2016"
Prosser School District,6900,3116,123,11490,11603,11735,11914,12117,12278,12407,12525,12619,12808,12996,13127,13173,13249,13294,13329,13441,1506,13.10%,445,3.42%,"September 21, 2016"
Pullman School District,6930,38267,101,27081,27159,27681,27856,28560,29323,29768,29930,31023,31178,31922,31930,33093,33109,33561,34267,34836,4841,17.88%,2914,9.13%,"September 21, 2016"
Puyallup School District,6960,27003,121,95881,98054,100693,103200,105836,108691,112123,114949,116982,118290,118946,119353,120264,121424,122848,124394,126544,23065,24.06%,7598,6.39%,"September 21, 2016"
Queets-Clearwater School District,1380,16020,114,600,603,609,608,612,621,626,630,633,632,629,621,637,636,644,653,646,29,4.76%,17,2.65%,"September 21, 2016"
Quilcene School District,6990,16048,114,1597,1613,1637,1644,1663,1694,1719,1737,1756,1759,1760,1782,1799,1820,1854,1866,1845,163,10.23%,85,4.82%,"September 21, 2016"
Quillayute Valley School District,7020,5402,114,6750,6728,6721,6697,6701,6721,6770,6782,6783,6747,6709,6683,6743,6764,6783,6794,6837,-41,(  0.611%),128,1.9%,"September 21, 2016"
Quincy School District,7080,13144,171,9953,10100,10226,10289,10474,10614,10825,11070,11357,11576,11750,12055,12248,12333,12629,12694,12797,1797,18.05%,1047,8.91%,"September 21, 2016"
Rainier School District,7110,34307,113,4021,4091,4186,4283,4393,4531,4641,4765,4885,4989,5062,5121,5144,5173,5200,5273,5355,1041,25.89%,293,5.78%,"September 21, 2016"
Raymond School District,7140,25116,113,3831,3810,3782,3730,3716,3705,3732,3697,3676,3686,3678,3664,3680,3683,3683,3691,3682,-153,(  3.981%),4,0.1%,"September 21, 2016"
Reardan-Edwall School District,7210,22009,101,3654,3729,3778,3787,3853,3922,4004,4085,4159,4217,4260,4277,4318,4342,4363,4363,4355,606,16.59%,95,2.22%,"September 21, 2016"
Renton School District,7230,17403,121,95149,97131,99312,100850,102500,104230,106882,109292,111363,113319,115511,117157,117958,119496,121464,122847,125942,20362,21.40%,10431,9.03%,"September 21, 2016"
Republic School District,7260,10309,101,2996,3046,3079,3103,3109,3141,3183,3208,3244,3276,3288,3313,3333,3348,3362,3374,3370,292,9.76%,82,2.5%,"September 21, 2016"
Richland School District,7320,3400,123,49428,50551,51754,53173,54698,56037,57221,58359,59376,60854,62323,63674,64841,66590,68032,69130,69740,12895,26.09%,7417,11.9%,"September 21, 2016"
Ridgefield School District,7350,6122,112,10130,10493,10997,11415,11897,12317,12766,13147,13478,13752,13923,14183,14540,15012,15635,16220,17139,3793,37.45%,3216,23.1%,"September 21, 2016"
Ritzville School District,7380,1160,101,2475,2472,2461,2443,2460,2440,2407,2404,2399,2387,2388,2436,2427,2424,2420,2397,2396,-87,(  3.512%),8,0.35%,"September 21, 2016"
Riverside School District,7440,32416,101,9683,9856,10033,10090,10208,10403,10646,10867,11062,11250,11407,11463,11594,11663,11763,11736,11750,1724,17.80%,343,3.01%,"September 21, 2016"
Riverview School District,4560,17407,121,16040,16359,16711,16954,17217,17493,17924,18314,18647,18961,19315,19415,19744,20049,20486,20565,20913,3275,20.42%,1598,8.27%,"September 21, 2016"
Rochester School District,7470,34401,113,10997,11234,11538,11846,12190,12612,12959,13343,13716,14044,14285,14200,14207,14245,14321,14417,14671,3288,29.90%,386,2.7%,"September 21, 2016"
Roosevelt School District,7530,20403,112,148,154,160,165,172,178,185,191,196,202,207,211,212,216,215,215,223,59,39.85%,16,7.57%,"September 21, 2016"
Rosalia School District,7560,38320,101,1258,1223,1209,1179,1172,1166,1148,1120,1125,1097,1089,1092,1091,1095,1094,1093,1102,-169,( 13.448%),13,1.17%,"September 21, 2016"
Royal School District,7620,13160,105,5482,5559,5626,5656,5755,5829,5942,6073,6228,6345,6437,6481,6516,6558,6600,6642,6595,955,17.43%,158,2.46%,"September 21, 2016"
San Juan Island School District,7650,28149,189,6895,7048,7170,7217,7290,7404,7495,7540,7608,7652,7662,7703,7687,7748,7792,7839,7915,767,11.12%,253,3.3%,"September 21, 2016"
Satsop School District,7680,14104,113,540,551,554,555,559,564,570,572,574,575,576,575,576,576,574,569,561,36,6.73%,-15,,"September 21, 2016"
Seattle School District,7710,17001,121,564130,568347,573723,575407,577792,580674,588668,595267,599995,604107,609471,612915,617319,627421,641329,663229,687635,45341,8.04%,78164,12.83%,"September 21, 2016"
Sedro-Woolley School District,7740,29101,189,22997,23290,23661,23847,24271,24613,25101,25508,25861,26138,26212,26400,26490,26564,26735,26996,27231,3215,13.98%,1019,3.89%,"September 21, 2016"
Selah School District,7770,39119,105,17106,17231,17272,17514,17670,17814,18005,18196,18395,18560,18675,18835,19009,19094,19201,19128,19099,1569,9.17%,424,2.27%,"September 21, 2016"
Selkirk School District,7800,26070,101,2051,2077,2088,2101,2107,2127,2143,2177,2197,2208,2213,2214,2236,2252,2273,2266,2272,162,7.91%,59,2.65%,"September 21, 2016"
Sequim School District,7830,5323,114,23649,24151,24705,25199,25795,26453,27239,27880,28476,28915,29342,29451,29716,29967,30109,30188,30609,5693,24.07%,1267,4.32%,"September 21, 2016"
Shaw Island School District,7860,28010,189,235,238,240,240,240,242,243,242,242,242,240,243,244,244,243,241,243,5,2.11%,3,1.22%,"September 21, 2016"
Shelton School District,7900,23309,113,20742,20811,21061,21303,21663,22118,22558,23147,23580,23709,23747,23800,23940,24055,24094,23993,24140,3005,14.49%,393,1.66%,"September 21, 2016"
Shoreline School District,7920,17412,121,66110,66017,66058,65676,65378,65141,65476,65650,65615,65513,65547,65752,65842,66274,66664,67234,67853,-563,(  0.852%),2306,3.52%,"September 21, 2016"
Skamania School District,7950,30002,112,762,761,762,761,768,779,792,794,792,790,789,795,803,804,802,800,796,27,3.58%,7,0.85%,"September 21, 2016"
Skykomish School District,7980,17404,121,638,637,636,632,629,626,629,630,629,627,627,632,652,662,680,679,693,-11,(  1.728%),66,10.58%,"September 21, 2016"
Snohomish School District,8020,31201,189,43461,44379,45268,46102,46804,47776,48908,49925,50713,51250,51850,52145,52524,53006,53383,54353,55213,8389,19.30%,3363,6.49%,"September 21, 2016"
Snoqualmie Valley School District,8040,17410,121,25034,26021,27062,27927,28819,29730,30906,32016,33028,34005,35054,35448,36058,36786,37850,38830,39348,10020,40.03%,4294,12.25%,"September 21, 2016"
Soap Lake School District,8070,13156,171,3243,3239,3229,3200,3209,3205,3222,3249,3287,3305,3310,3333,3339,3348,3375,3352,3385,67,2.07%,75,2.26%,"September 21, 2016"
South Bend School District,8100,25118,113,2728,2706,2679,2634,2617,2602,2613,2581,2559,2559,2545,2543,2537,2535,2542,2534,2529,-183,(  6.709%),-16,,"September 21, 2016"
South Kitsap School District,8160,18402,114,61165,61858,62762,63679,64210,64128,65432,66524,67349,67881,68017,68749,68945,69118,69568,69980,70785,6852,11.20%,2768,4.07%,"September 21, 2016"
South Whidbey School District,8190,15206,189,13998,14094,14305,14397,14574,14846,15086,15287,15347,15383,15336,15385,15470,15658,15848,16033,16217,1338,9.56%,881,5.75%,"September 21, 2016"
Southside School District,8220,23042,113,2049,2044,2057,2070,2093,2126,2157,2202,2233,2234,2227,2249,2251,2262,2247,2255,2255,178,8.67%,28,1.27%,"September 21, 2016"
Spokane Public Schools,8250,32081,101,210615,211594,212793,211283,211220,212788,215390,217386,218886,220312,221110,221337,221420,222659,223977,224993,226692,10495,4.98%,5582,2.53%,"September 21, 2016"
Sprague School District,8280,22008,101,730,731,720,703,706,702,698,697,695,686,675,673,674,674,672,675,664,-55,(  7.530%),-11,,"September 21, 2016"
St. John School District,8310,38322,101,1159,1133,1126,1105,1105,1107,1097,1077,1089,1069,1069,1054,1031,1032,1044,1045,1059,-90,(  7.776%),-10,,"September 21, 2016"
Stanwood-Camano School District,8340,31401,189,27853,28349,28946,29408,29911,30598,31308,31941,32358,32665,32907,32974,33194,33435,33907,34389,34796,5054,18.14%,1889,5.74%,"September 21, 2016"
Star School District,8370,11054,123,89,85,82,80,80,80,80,79,78,76,75,75,75,78,75,74,76,-14,( 15.735%),1,1.01%,"September 21, 2016"
Starbuck School District,8400,7035,123,170,172,172,171,172,172,172,170,170,170,169,170,169,169,168,167,166,-1,(  0.370%),-3,,"September 21, 2016"
Stehekin School District,8430,4069,171,102,102,102,101,101,102,103,104,104,104,104,104,106,106,106,107,111,2,1.95%,7,7.03%,"September 21, 2016"
Steilacoom Historical School District,8460,27001,121,16041,16507,17051,17573,18118,18701,19384,19964,20406,20721,20920,20019,20283,20569,20924,21103,21226,4879,30.41%,306,1.47%,"September 21, 2016"
Steptoe School District,8490,38304,101,282,278,278,275,277,280,279,276,282,279,281,279,281,282,281,281,287,-1,(  0.483%),6,2.02%,"September 21, 2016"
Stevenson-Carson School District,8520,30303,112,5552,5588,5644,5682,5774,5901,6046,6108,6133,6161,6199,6258,6335,6340,6381,6414,6448,647,11.66%,249,4.01%,"September 21, 2016"
Sultan School District,8550,31311,189,11624,11796,11960,12109,12223,12408,12634,12830,12967,13040,13130,13130,13172,13179,13204,13398,13696,1506,12.96%,566,4.31%,"September 21, 2016"
Summit Valley School District,8580,33202,101,550,556,562,569,577,585,596,603,613,619,621,623,623,625,628,631,628,71,12.92%,7,1.08%,"September 21, 2016"
Sumner School District,8610,27320,121,36174,36857,37716,38524,39380,40317,41465,42388,43019,43383,43512,43679,44046,44463,45464,47082,48061,7338,20.29%,4549,10.45%,"September 21, 2016"
Sunnyside School District,8670,39201,105,21969,22165,22253,22600,22835,23056,23337,23619,23910,24159,24342,24543,24670,24761,24823,24884,25079,2373,10.80%,737,3.03%,"September 21, 2016"
Tacoma Public Schools,8700,27010,121,203325,203608,204852,205804,206995,208583,211219,212661,212630,211324,208938,209421,210202,211062,211648,213139,217060,5613,2.76%,8122,3.89%,"September 21, 2016"
Taholah School District,8730,14077,113,931,947,949,947,950,955,960,962,960,959,957,1003,1003,1001,999,993,1006,26,2.78%,49,5.08%,"September 21, 2016"
Tahoma School District,8760,17409,121,28404,29285,30226,30971,31747,32547,33635,34649,35558,36429,37376,37591,38164,38907,39544,39891,40210,8972,31.59%,2834,7.58%,"September 21, 2016"
Tekoa School District,8790,38265,101,995,975,972,956,959,963,957,942,955,940,943,944,954,940,944,953,951,-52,(  5.211%),8,0.88%,"September 21, 2016"
Tenino School District,8820,34402,113,8089,8160,8282,8407,8558,8764,8915,9091,9260,9399,9479,9532,9590,9644,9746,9853,10052,1390,17.19%,573,6.05%,"September 21, 2016"
Thorp School District,8850,19400,105,1175,1192,1208,1238,1280,1307,1321,1351,1382,1398,1402,1419,1423,1444,1438,1442,1475,227,19.28%,73,5.24%,"September 21, 2016"
Toledo School District,8910,21237,113,3919,3971,4020,4045,4090,4138,4219,4283,4337,4371,4387,4410,4418,4410,4426,4452,4455,468,11.94%,68,1.55%,"September 21, 2016"
Tonasket School District,8940,24404,171,6209,6269,6313,6332,6376,6411,6492,6473,6517,6596,6638,6640,6678,6686,6721,6757,6702,429,6.92%,64,0.96%,"September 21, 2016"
Toppenish School District,8970,39202,105,14110,14114,14051,14151,14180,14201,14259,14317,14379,14417,14415,14462,14481,14494,14507,14530,14580,305,2.16%,165,1.14%,"September 21, 2016"
Touchet School District,9000,36300,123,983,989,999,1012,1031,1054,1065,1083,1096,1113,1124,1129,1145,1156,1164,1148,1148,141,14.39%,24,2.13%,"September 21, 2016"
Toutle Lake School District,9030,8130,112,2883,2936,2977,3025,3065,3115,3177,3235,3288,3325,3348,3382,3400,3424,3472,3506,3569,465,16.12%,221,6.59%,"September 21, 2016"
Trout Lake School District,9060,20400,112,807,823,836,851,869,884,904,920,935,946,959,971,983,993,996,1016,1048,152,18.82%,89,9.33%,"September 21, 2016"
Tukwila School District,8130,17406,121,16140,16320,16534,16642,16769,16910,17201,17451,17646,17824,18038,17975,18008,18078,18135,18200,18420,1898,11.76%,382,2.12%,"September 21, 2016"
Tumwater School District,9100,34033,113,31395,31650,32100,32564,33129,33903,34466,35129,35761,36276,36566,36943,37451,38052,38831,39411,40430,5171,16.47%,3864,10.57%,"September 21, 2016"
Union Gap School District,9150,39002,105,3179,3196,3197,3236,3259,3279,3308,3338,3368,3393,3408,3448,3485,3485,3495,3501,3483,229,7.20%,75,2.2%,"September 21, 2016"
University Place School District,9180,27083,121,27636,27729,27953,28137,28354,28626,29043,29296,29347,29221,28944,28969,29065,29130,29211,29509,30008,1308,4.73%,1064,3.68%,"September 21, 2016"
Valley School District,9240,33070,101,1226,1242,1259,1278,1297,1319,1345,1365,1390,1405,1413,1417,1421,1428,1423,1429,1432,187,15.26%,19,1.34%,"September 21, 2016"
Vancouver Public Schools,9270,6037,112,124298,125958,129273,131545,134524,136778,139339,141145,142423,143130,142811,143546,144580,145852,148116,151201,153679,18513,14.89%,10868,7.61%,"September 21, 2016"
Vashon Island School District,9300,17402,121,10123,10168,10233,10232,10244,10265,10377,10463,10517,10559,10624,10682,10804,10859,10984,11031,11024,501,4.95%,400,3.77%,"September 21, 2016"
Wahkiakum School District,9330,35200,112,2985,2995,2994,3005,3003,3040,3079,3124,3161,3164,3148,3170,3195,3179,3177,3153,3182,163,5.46%,34,1.08%,"September 21, 2016"
Wahluke School District,9360,13073,105,5560,5819,6066,6270,6549,6799,7094,7413,7763,8068,8342,8414,8525,8581,8558,8684,8834,2782,50.05%,492,5.89%,"September 21, 2016"
Waitsburg School District,9390,36401,123,1584,1571,1562,1558,1562,1572,1565,1566,1561,1562,1555,1557,1560,1563,1563,1571,1561,-29,(  1.829%),6,0.38%,"September 21, 2016"
Walla Walla School District,9450,36140,123,35592,35508,35566,35738,36096,36601,36709,37017,37183,37470,37579,37508,37662,37880,38297,38903,38867,1987,5.58%,1288,3.43%,"September 21, 2016"
Wapato School District,9480,39207,105,13612,13603,13529,13612,13628,13635,13678,13721,13768,13791,13777,13844,13892,13926,13961,13994,13954,165,1.22%,177,1.29%,"September 21, 2016"
Warden School District,9510,13146,171,3845,3851,3849,3824,3845,3849,3878,3920,3975,4006,4022,4027,4035,4043,4060,4063,4080,177,4.60%,58,1.45%,"September 21, 2016"
Washougal School District,9540,6112,112,14270,14731,15370,15898,16522,17083,17685,18176,18593,18942,19168,19281,19448,19673,20022,20318,20770,4898,34.32%,1602,8.36%,"September 21, 2016"
Washtucna School District,9570,1109,101,391,384,376,367,363,353,342,335,328,319,313,312,316,321,325,312,316,-78,( 19.980%),3,0.85%,"September 21, 2016"
Waterville School District,9600,9209,171,1675,1655,1628,1631,1621,1618,1638,1648,1661,1669,1659,1669,1674,1679,1695,1697,1710,-16,(  0.970%),51,3.05%,"September 21, 2016"
Wellpinit School District,9630,33049,101,1112,1110,1108,1109,1110,1114,1120,1122,1127,1124,1116,1115,1115,1118,1115,1113,1114,4,0.40%,-2,,"September 21, 2016"
Wenatchee School District,9660,4246,171,38128,38411,38822,39002,39413,40081,40740,41369,42085,42427,42698,42853,43024,43251,43862,44158,44430,4570,11.99%,1732,4.06%,"September 21, 2016"
West Valley School District (Spokane),9690,32363,101,16883,17076,17287,17277,17383,17623,17950,18227,18464,18694,18872,18953,19097,19466,19685,19862,19936,1989,11.78%,1064,5.64%,"September 21, 2016"
West Valley School District (Yakima),9720,39208,105,24317,24704,24970,25524,25955,26368,26851,27336,27831,28278,28648,28845,29023,29285,29405,29503,29434,4331,17.81%,786,2.74%,"September 21, 2016"
White Pass School District,9750,21303,113,4491,4455,4417,4351,4309,4270,4263,4239,4205,4151,4080,4163,4219,4241,4231,4252,4204,-411,(  9.145%),124,3.04%,"September 21, 2016"
White River School District,9780,27416,121,19906,20099,20388,20649,20934,21261,21697,22013,22176,22205,22116,22068,22186,22299,22381,22570,22925,2210,11.10%,809,3.66%,"September 21, 2016"
White Salmon Valley School District,9810,20405,112,6692,6805,6909,7015,7158,7279,7444,7564,7671,7756,7849,7909,7954,7987,8063,8179,8310,1157,17.29%,461,5.87%,"September 21, 2016"
Wilbur School District,9840,22200,101,1462,1464,1440,1406,1410,1401,1393,1389,1384,1366,1342,1342,1355,1353,1351,1354,1347,-120,(  8.227%),5,0.35%,"September 21, 2016"
Willapa Valley School District,9870,25160,113,2267,2260,2249,2223,2221,2219,2241,2226,2219,2230,2231,2231,2229,2228,2235,2239,2227,-36,(  1.583%),-4,,"September 21, 2016"
Wilson Creek School District,9900,13167,171,608,604,598,589,587,583,582,583,586,586,583,586,587,594,593,592,596,-25,(  4.124%),13,2.21%,"September 21, 2016"
Winlock School District,9930,21232,113,3978,4030,4079,4103,4149,4197,4278,4342,4397,4431,4446,4447,4457,4451,4448,4470,4485,468,11.76%,39,0.87%,"September 21, 2016"
Wishkah Valley School District,9990,14117,113,877,885,880,871,868,866,864,859,851,843,835,841,860,855,852,850,840,-42,(  4.759%),5,0.59%,"September 21, 2016"
Wishram School District,10020,20094,112,398,398,397,396,397,396,398,398,397,395,394,400,397,397,400,396,397,-4,(  1.015%),3,0.69%,"September 21, 2016"
Woodland School District,10050,8404,112,9096,9398,9686,9982,10263,10567,10907,11228,11532,11778,11971,12046,12108,12135,12272,12520,12700,2875,31.60%,729,6.09%,"September 21, 2016"
Yakima School District,10110,39007,105,72746,73078,73057,73884,74347,74763,75373,75986,76626,77132,77427,77634,77881,78308,78766,78855,78976,4681,6.44%,1549,2%,"September 21, 2016"
Yelm Community Schools,10140,34002,113,20857,21593,22452,23312,24237,25301,26262,27265,28220,29070,29740,30042,30305,30843,31364,31856,32526,8883,42.59%,2786,9.37%,"September 21, 2016"
Zillah School District,10170,39205,105,4225,4307,4367,4478,4568,4654,4752,4851,4952,5045,5123,5185,5223,5267,5315,5321,5311,898,21.25%,188,3.67%,"September 21, 2016"
